iter	Passed	Remaining
0	1	124
1	2	112
2	3	107
3	4	98
4	5	108
5	7	119
6	9	120
7	10	117
8	11	116
9	12	113
10	13	111
11	15	110
12	16	107
13	17	105
14	18	104
15	19	102
16	20	100
17	21	97
18	22	95
19	23	93
20	24	91
21	25	89
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	80
28	32	79
29	33	78
30	34	75
31	34	73
32	35	71
33	35	69
34	36	67
35	37	66
36	37	64
37	38	62
38	39	61
39	39	59
40	40	58
41	40	56
42	41	54
43	41	53
44	42	51
45	43	50
46	43	49
47	44	48
48	45	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	49	38
56	50	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	26
68	57	25
69	58	25
70	59	24
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	76	1
98	77	0
99	77	0
