iter	Passed	Remaining
0	156	156376
1	159	79424
2	161	53578
3	164	41028
4	169	33785
5	172	28579
6	175	24892
7	178	22090
8	181	19980
9	184	18250
10	186	16809
11	189	15605
12	191	14576
13	194	13674
14	197	12938
15	199	12240
16	247	14305
17	249	13592
18	250	12915
19	251	12312
20	252	11754
21	252	11242
22	253	10776
23	254	10348
24	255	9952
25	256	9590
26	256	9251
27	257	8940
28	274	9187
29	275	8898
30	276	8650
31	277	8394
32	278	8152
33	278	7923
34	279	7705
35	280	7506
36	281	7314
37	281	7131
38	282	6956
39	282	6791
40	283	6636
41	284	6488
42	285	6346
43	285	6212
44	286	6084
45	287	5959
46	288	5839
47	288	5724
48	289	5614
49	291	5530
50	292	5435
51	292	5338
52	293	5243
53	294	5150
54	294	5063
55	295	4978
56	296	4897
57	296	4819
58	297	4743
59	298	4671
60	298	4600
61	299	4531
62	300	4464
63	300	4399
64	301	4337
65	302	4278
66	302	4218
67	303	4163
68	304	4107
69	305	4056
70	306	4007
71	307	3957
72	307	3908
73	308	3859
74	309	3813
75	310	3769
76	310	3725
77	311	3681
78	312	3639
79	312	3597
80	313	3556
81	314	3516
82	314	3474
83	315	3436
84	315	3400
85	316	3364
86	317	3328
87	317	3295
88	318	3262
89	319	3232
90	320	3205
91	321	3176
92	322	3147
93	323	3117
94	324	3087
95	324	3059
96	325	3031
97	326	3003
98	326	2974
99	327	2947
100	328	2921
101	329	2900
102	330	2876
103	331	2852
104	332	2830
105	332	2805
106	333	2783
107	334	2759
108	335	2739
109	336	2720
110	336	2698
111	337	2677
112	338	2655
113	338	2634
114	339	2613
115	340	2593
116	340	2572
117	341	2553
118	342	2533
119	342	2514
120	343	2495
121	344	2476
122	344	2458
123	345	2442
124	346	2425
125	347	2408
126	347	2390
127	348	2374
128	349	2358
129	350	2342
130	351	2329
131	352	2315
132	352	2299
133	353	2284
134	354	2269
135	354	2254
136	355	2239
137	356	2225
138	356	2211
139	357	2197
140	358	2184
141	359	2169
142	359	2156
143	360	2142
144	361	2129
145	361	2116
146	362	2103
147	363	2090
148	363	2078
149	364	2065
150	365	2055
151	366	2046
152	367	2034
153	368	2023
154	368	2011
155	369	2000
156	370	1989
157	371	1977
158	372	1967
159	372	1957
160	373	1945
161	374	1934
162	374	1924
163	375	1914
164	376	1905
165	377	1894
166	377	1884
167	378	1875
168	379	1865
169	380	1857
170	381	1850
171	382	1841
172	383	1832
173	383	1822
174	384	1813
175	385	1804
176	386	1795
177	386	1786
178	387	1777
179	388	1769
180	389	1761
181	390	1752
182	390	1744
183	391	1736
184	392	1728
185	393	1720
186	393	1712
187	394	1703
188	395	1696
189	396	1690
190	397	1682
191	398	1675
192	398	1667
193	399	1659
194	400	1652
195	400	1644
196	401	1638
197	402	1630
198	403	1623
199	404	1616
200	404	1608
201	405	1601
202	406	1594
203	406	1587
204	407	1580
205	408	1573
206	408	1566
207	409	1559
208	410	1553
209	411	1549
210	412	1543
211	413	1537
212	414	1530
213	415	1524
214	415	1518
215	416	1512
216	417	1506
217	418	1500
218	419	1495
219	420	1489
220	420	1483
221	421	1477
222	422	1471
223	422	1465
224	424	1460
225	424	1455
226	427	1455
227	428	1450
228	429	1444
229	429	1439
230	430	1433
231	431	1428
232	432	1422
233	433	1417
234	433	1412
235	434	1407
236	435	1401
237	436	1396
238	436	1390
239	437	1385
240	438	1380
241	439	1375
242	439	1370
243	440	1365
244	442	1362
245	443	1358
246	444	1355
247	445	1350
248	446	1346
249	447	1341
250	447	1336
251	448	1331
252	449	1326
253	450	1322
254	451	1318
255	452	1314
256	454	1313
257	455	1310
258	456	1306
259	457	1302
260	458	1298
261	459	1293
262	460	1289
263	460	1284
264	461	1280
265	462	1276
266	463	1273
267	464	1268
268	465	1264
269	466	1260
270	466	1256
271	467	1251
272	468	1247
273	469	1243
274	470	1239
275	471	1235
276	473	1235
277	474	1231
278	475	1227
279	476	1224
280	477	1221
281	478	1218
282	479	1214
283	480	1210
284	480	1206
285	481	1203
286	482	1199
287	483	1196
288	485	1193
289	486	1189
290	487	1187
291	489	1185
292	490	1183
293	491	1179
294	492	1177
295	493	1174
296	494	1171
297	496	1168
298	496	1164
299	497	1160
300	498	1156
301	498	1153
302	499	1149
303	500	1146
304	501	1143
305	503	1142
306	505	1140
307	506	1137
308	507	1135
309	508	1132
310	509	1128
311	510	1125
312	511	1121
313	511	1117
314	512	1114
315	513	1110
316	513	1106
317	514	1102
318	515	1099
319	515	1096
320	517	1095
321	519	1093
322	520	1090
323	521	1087
324	522	1084
325	523	1081
326	523	1078
327	524	1074
328	525	1071
329	525	1067
330	526	1064
331	527	1061
332	528	1059
333	529	1056
334	530	1052
335	531	1049
336	532	1046
337	533	1044
338	534	1041
339	535	1040
340	537	1037
341	537	1034
342	538	1031
343	539	1028
344	540	1025
345	540	1021
346	541	1018
347	541	1015
348	542	1012
349	543	1009
350	544	1006
351	544	1003
352	545	1000
353	546	997
354	547	994
355	548	992
356	549	990
357	550	987
358	551	984
359	552	982
360	553	979
361	554	976
362	554	973
363	555	970
364	556	967
365	556	964
366	557	962
367	558	959
368	559	957
369	560	954
370	562	953
371	563	951
372	564	949
373	566	947
374	567	946
375	568	944
376	569	941
377	570	938
378	571	936
379	572	934
380	573	932
381	574	929
382	575	927
383	576	924
384	577	923
385	580	923
386	581	921
387	583	919
388	583	917
389	584	914
390	585	911
391	586	908
392	587	906
393	587	904
394	588	901
395	589	898
396	589	895
397	590	893
398	591	890
399	591	887
400	593	886
401	594	883
402	595	881
403	595	879
404	597	877
405	597	874
406	598	872
407	599	869
408	600	867
409	600	864
410	601	862
411	602	859
412	603	857
413	603	854
414	604	852
415	605	849
416	606	847
417	607	845
418	608	843
419	609	841
420	610	839
421	610	836
422	611	834
423	612	832
424	613	830
425	614	827
426	614	825
427	615	822
428	616	820
429	617	818
430	617	815
431	618	813
432	619	810
433	619	808
434	620	806
435	621	803
436	621	801
437	623	799
438	624	798
439	625	796
440	626	793
441	627	792
442	628	790
443	629	787
444	630	786
445	630	783
446	631	781
447	632	779
448	632	776
449	633	774
450	634	772
451	634	769
452	635	767
453	636	765
454	637	763
455	639	762
456	640	760
457	641	758
458	642	756
459	643	754
460	643	752
461	644	750
462	645	748
463	645	746
464	646	743
465	647	741
466	647	739
467	648	737
468	649	735
469	650	733
470	650	730
471	651	728
472	652	726
473	653	724
474	654	722
475	655	721
476	656	719
477	656	717
478	658	715
479	658	713
480	659	711
481	660	709
482	660	707
483	661	705
484	662	703
485	662	701
486	663	699
487	664	697
488	665	694
489	665	692
490	666	690
491	667	688
492	667	686
493	669	685
494	670	684
495	671	682
496	672	680
497	673	679
498	674	677
499	675	675
500	675	673
501	676	671
502	677	669
503	677	666
504	678	664
505	679	662
506	679	660
507	680	658
508	681	656
509	681	655
510	682	652
511	683	650
512	684	649
513	685	647
514	686	646
515	686	644
516	687	642
517	688	640
518	689	638
519	689	636
520	690	634
521	690	632
522	691	630
523	692	628
524	692	626
525	693	625
526	694	623
527	694	621
528	695	619
529	696	617
530	696	615
531	697	613
532	698	611
533	699	610
534	700	609
535	702	607
536	703	606
537	703	604
538	704	602
539	705	600
540	706	599
541	706	597
542	707	595
543	708	593
544	709	592
545	710	590
546	710	588
547	711	586
548	712	585
549	713	583
550	714	582
551	716	581
552	717	580
553	718	578
554	719	576
555	720	574
556	720	573
557	721	571
558	722	569
559	722	567
560	723	566
561	723	564
562	724	562
563	725	560
564	725	558
565	726	557
566	727	555
567	727	553
568	728	551
569	729	550
570	731	549
571	732	548
572	733	546
573	734	544
574	734	543
575	735	541
576	736	539
577	736	538
578	737	536
579	738	534
580	738	532
581	739	531
582	740	529
583	740	527
584	741	526
585	742	524
586	743	522
587	744	521
588	746	520
589	746	518
590	747	517
591	748	515
592	748	513
593	749	512
594	750	510
595	750	508
596	751	507
597	752	505
598	752	503
599	753	502
600	754	500
601	754	498
602	755	497
603	756	495
604	756	494
605	757	492
606	758	490
607	758	489
608	760	488
609	761	486
610	762	485
611	762	483
612	763	482
613	764	480
614	765	479
615	765	477
616	766	475
617	767	474
618	768	472
619	769	471
620	769	469
621	770	468
622	771	466
623	772	465
624	772	463
625	773	462
626	773	460
627	775	459
628	776	457
629	776	456
630	777	454
631	778	453
632	778	451
633	779	450
634	780	448
635	781	446
636	781	445
637	782	443
638	783	442
639	783	440
640	784	439
641	785	438
642	786	436
643	786	434
644	787	433
645	788	431
646	788	430
647	789	429
648	790	427
649	791	426
650	792	424
651	792	423
652	793	421
653	794	420
654	795	418
655	795	417
656	796	415
657	797	414
658	797	412
659	798	411
660	799	410
661	800	408
662	801	407
663	801	405
664	802	404
